Td	ID	  	Tj	Df	Dd	Db
12	2000	8	0	4	4
26	2015	23	0	3	3
39	2021	33	0	6	6
39	2025	33	0	6	6
41	2026	33	0	8	8
43	2027	33	0	10	10
47	2037	40	0	7	7
49	2045	42	0	7	7
50	7		8	0	42	42
51	2043	42	0	9	9
53	2003	8	1	44	45
65	10		9	1	55	56
67	4		8	34	25	59
68	1		8	34	26	60
70	68		60	3	7	10
71	2006	8	2	61	63
72	67		60	3	9	12
73	2001	8	0	65	65
79	64		60	8	11	19
80	2059	66	1	13	14
80	76		73	0	7	7
81	47		44	24	13	37
82	65		60	10	12	22
84	2004	8	1	75	76
85	2062	66	0	19	19
87	61		57	26	4	30
88	2078	73	0	15	15
90	2054	63	0	27	27
90	2097	75	0	15	15
92	2074	69	0	23	23
93	2106	86	0	7	7
95	2052	63	0	32	32
96	2056	66	0	30	30
97	2065	68	3	26	29
97	11		9	1	87	88
99	2049	63	0	36	36
100	14		9	2	89	91
101	2082	73	9	19	28
102	28		22	5	75	80
107	2002	8	0	99	99
107	2092	75	4	28	32
107	20		19	4	84	88
109	2071	69	0	40	40
109	2076	69	0	40	40
110	2094	75	7	28	35
111	2103	77	0	34	34
114	5		8	0	106	106
115	2069	68	0	47	47
118	2064	68	3	47	50
119	2115	91	3	25	28
119	85		89	0	30	30
121	2109	86	15	20	35
123	2068	68	2	53	55
123	2105	86	2	35	37
124	116		108	3	13	16
125	133		117	0	8	8
128	2154	115	0	13	13
128	3		8	0	120	120
128	8		9	0	119	119
129	119		108	0	21	21
130	2123	102	1	27	28
132	2100	77	3	52	55
132	132		117	0	15	15
133	2152	112	0	21	21
134	2171	124	0	10	10
136	2160	115	0	21	21
136	4003	131	1	4	5
136	54		45	11	80	91
136	125		110	0	26	26
137	4005	131	1	5	6
137	4006	131	2	4	6
138	2139	108	0	30	30
138	4001	131	0	7	7
138	4008	132	2	4	6
138	114		108	12	18	30
139	4009	132	3	4	7
140	2091	75	0	65	65
140	4011	132	3	5	8
140	29		24	6	110	116
141	2101	77	1	63	64
141	4004	131	1	9	10
142	2166	120	0	22	22
142	34		24	8	110	118
143	158		139	0	4	4
144	4010	132	3	9	12
144	78		87	0	57	57
145	2170	124	2	19	21
145	2178	126	1	18	19
145	4002	131	1	13	14
145	4000	131	0	14	14
145	4007	132	2	11	13
146	2005	8	2	136	138
146	4014	139	3	4	7
147	173		144	0	3	3
148	2124	102	5	41	46
151	2165	120	1	30	31
151	2175	126	0	25	25
152	2190	143	0	9	9
153	2143	111	0	42	42
153	4015	139	3	11	14
153	4016	139	3	11	14
153	123		110	19	24	43
153	25		22	4	127	131
155	155		139	0	16	16
157	190		153	1	3	4
158	183		148	0	10	10
158	195		153	0	5	5
160	4025	143	5	12	17
162	4018	139	4	19	23
163	147		131	0	32	32
164	2186	133	0	31	31
164	4033	144	7	13	20
165	2214	154	0	11	11
165	4012	132	3	30	33
165	4013	132	4	29	33
167	157		139	8	20	28
168	4021	143	3	22	25
168	106		100	0	68	68
169	2211	154	0	15	15
170	2172	124	2	44	46
170	4041	147	9	14	23
170	198		160	0	10	10
171	2182	133	0	38	38
172	4047	148	11	13	24
172	103		99	69	4	73
173	2198	146	2	25	27
174	2199	146	1	27	28
174	55		45	35	94	129
175	4027	143	5	27	32
176	2007	16	2	158	160
177	2220	156	0	21	21
178	2206	150	2	26	28
178	4031	144	7	27	34
178	4032	144	7	27	34
178	21		19	5	154	159
179	2210	154	12	13	25
180	4051	153	13	14	27
180	216		176	0	4	4
182	2225	167	2	13	15
182	4036	147	7	28	35
182	4037	147	7	28	35
183	4040	147	8	28	36
184	4042	148	9	27	36
185	2209	150	0	35	35
185	4044	148	10	27	37
185	4045	148	10	27	37
186	2193	143	0	43	43
187	215		176	4	7	11
188	2203	150	2	36	38
189	220		177	0	12	12
189	2		8	0	181	181
190	22		22	3	165	168
190	214		176	11	3	14
191	4024	143	5	43	48
191	4017	139	4	48	52
191	208		174	0	17	17
192	2212	154	0	38	38
192	222		177	0	15	15
194	4019	139	4	51	55
194	4020	139	4	51	55
195	4028	144	6	45	51
197	4029	144	6	47	53
197	9		9	1	187	188
198	4030	144	6	48	54
198	4034	144	8	46	54
198	4050	153	12	33	45
198	229		192	0	6	6
199	2224	167	0	32	32
200	2252	179	0	21	21
200	4055	153	14	33	47
