Td	ID	  	Tj	Df	Dd	Db
7	2007	2	0	5	5
8	8		4	0	4	4
11	10		4	1	6	7
13	5		2	0	11	11
15	2008	2	0	13	13
16	4		2	2	12	14
17	3		2	0	15	15
17	2		2	0	15	15
18	2019	6	0	12	12
18	1		2	0	16	16
19	7		4	0	15	15
20	2024	7	0	13	13
20	18		15	0	5	5
20	9		4	0	16	16
21	6		4	0	17	17
22	2021	7	0	15	15
22	2016	6	0	16	16
24	2033	14	1	9	10
24	40		24	0	0	0
25	2022	7	0	18	18
25	37		24	1	0	1
25	22		17	0	8	8
26	2005	2	0	24	24
30	2034	14	1	15	16
30	2038	19	0	11	11
31	2036	19	0	12	12
32	2047	23	1	8	9
34	20		15	0	19	19
35	2003	1	1	33	34
35	2045	23	0	12	12
35	55		30	0	5	5
36	34		22	0	14	14
36	31		22	0	14	14
37	56		37	0	0	0
39	2053	29	0	10	10
39	2055	30	0	9	9
40	2012	3	1	36	37
40	38		24	0	16	16
41	2013	3	1	37	38
41	2061	31	0	10	10
41	17		15	1	25	26
41	16		15	0	26	26
41	54		30	0	11	11
41	53		30	1	10	11
42	60		37	0	5	5
42	52		30	6	6	12
43	2009	2	0	41	41
45	12		14	0	31	31
46	63		42	0	4	4
46	14		14	0	32	32
46	13		14	0	32	32
46	19		15	1	30	31
47	64		42	0	5	5
47	26		20	1	26	27
49	2002	1	1	47	48
49	11		14	0	35	35
54	2017	6	3	45	48
54	24		17	1	36	37
54	25		17	2	35	37
56	77		52	0	4	4
57	2014	3	1	53	54
57	2000	1	1	55	56
57	15		14	0	43	43
58	29		20	1	37	38
58	35		22	2	34	36
61	2071	40	0	21	21
62	2093	52	0	10	10
62	27		20	1	41	42
63	2094	52	0	11	11
63	30		20	1	42	43
63	33		22	2	39	41
64	84		56	0	8	8
64	21		17	1	46	47
64	86		61	0	3	3
66	2010	3	1	62	63
66	88		61	0	5	5
67	2089	48	4	15	19
68	90		61	0	7	7
68	48		27	4	37	41
69	2090	52	2	15	17
69	28		20	1	48	49
70	2095	54	2	14	16
70	36		24	3	43	46
72	23		17	1	54	55
72	45		25	4	43	47
73	2105	62	1	10	11
74	2020	7	3	64	67
74	2100	56	5	13	18
74	2077	44	0	30	30
75	2025	13	4	58	62
76	2115	65	1	10	11
76	2120	69	0	7	7
77	2109	62	0	15	15
77	2111	63	1	13	14
77	101		69	0	8	8
79	2131	72	0	7	7
79	44		25	4	50	54
79	108		72	0	7	7
80	2129	70	0	10	10
80	2127	70	2	8	10
80	2122	69	0	11	11
80	61		42	3	35	38
81	2130	72	0	9	9
81	2134	72	0	9	9
81	109		72	0	9	9
81	58		37	5	39	44
82	2124	69	1	12	13
82	2128	70	0	12	12
82	47		27	4	51	55
85	2015	6	3	76	79
85	2082	46	0	39	39
87	2140	76	1	10	11
87	2132	72	0	15	15
87	124		78	0	9	9
87	127		80	0	7	7
88	2011	3	1	84	85
88	2142	76	0	12	12
89	2146	80	1	8	9
89	65		42	3	44	47
89	62		42	3	44	47
90	2152	81	0	9	9
91	2137	74	4	13	17
91	2164	83	0	8	8
91	59		37	5	49	54
92	2145	80	0	12	12
92	2144	76	0	16	16
92	46		27	4	61	65
94	2031	14	3	77	80
94	2165	86	1	7	8
94	2155	82	0	12	12
94	2163	83	0	11	11
95	2167	86	0	9	9
96	150		88	8	0	8
