Td	ID	  	Tj	Df	Dd	Db
20	4		7	0	13	13
23	3		7	0	16	16
26	5		7	1	18	19
27	2009	10	0	17	17
31	7		16	0	15	15
32	9		16	0	16	16
36	10		16	0	20	20
45	28		37	0	8	8
51	2010	22	0	29	29
57	2041	41	0	16	16
59	21		33	1	25	26
60	2019	28	0	32	32
64	2014	22	1	41	42
68	2018	28	4	36	40
78	2039	37	3	38	41
79	2030	33	0	46	46
86	89		73	0	13	13
89	2068	79	0	10	10
94	2052	53	0	41	41
97	105		91	0	6	6
100	103		91	6	3	9
106	2047	42	1	63	64
107	65		62	32	13	45
112	124		106	0	6	6
113	80		69	0	44	44
115	53		52	42	21	63
116	75		66	0	50	50
123	126		118	0	5	5
125	2057	71	2	52	54
126	2093	108	0	18	18
129	2104	114	0	15	15
129	2077	94	0	35	35
136	2075	94	0	42	42
140	2049	42	2	96	98
144	2053	53	9	82	91
145	2002	7	0	138	138
156	2073	89	2	65	67
157	2058	71	12	74	86
159	2060	74	5	80	85
163	2124	126	5	32	37
164	2064	74	6	84	90
165	13		26	0	139	139
166	2098	109	2	55	57
167	2004	7	1	159	160
170	2067	79	0	91	91
170	2070	89	1	80	81
173	2078	94	0	79	79
173	2072	89	2	82	84
176	2100	114	3	59	62
178	2129	150	7	21	28
178	2103	114	4	60	64
179	2149	170	0	9	9
182	2008	10	2	170	172
187	2079	94	11	82	93
188	185		184	0	4	4
197	2178	182	0	15	15
197	2179	182	0	15	15
201	14		26	1	174	175
209	141		134	42	33	75
209	196		196	0	13	13
209	201		200	0	9	9
209	183		184	0	25	25
210	177		171	5	34	39
212	2122	126	3	83	86
216	2143	167	2	47	49
216	2145	170	0	46	46
218	184		184	0	34	34
221	226		215	0	6	6
222	2150	172	0	50	50
222	216		212	0	10	10
224	175		169	0	55	55
225	204		200	5	20	25
225	179		171	0	54	54
225	217		212	0	13	13
229	148		140	36	53	89
230	2006	10	2	218	220
231	162		167	0	64	64
233	174		169	56	8	64
237	158		151	0	86	86
239	2141	167	4	68	72
241	248		238	0	3	3
243	2225	225	0	18	18
245	149		140	0	105	105
247	152		141	0	106	106
249	249		238	0	11	11
252	2007	10	2	240	242
253	38		47	6	200	206
265	2003	7	0	258	258
267	2257	252	0	15	15
269	26		37	2	230	232
271	289		264	0	7	7
272	2249	243	0	29	29
278	271		253	0	25	25
282	2279	260	0	22	22
286	291		280	0	6	6
286	290		264	0	22	22
289	2157	176	3	110	113
289	2243	240	0	49	49
289	285		258	0	31	31
294	2300	279	0	15	15
298	304		293	0	5	5
304	301		293	5	6	11
306	281		258	0	48	48
314	2232	227	0	87	87
314	294		280	0	34	34
315	2184	189	1	125	126
