Td	ID	  	Tj	Df	Dd	Db
16	2006	3	3	10	13
29	2017	14	0	15	15
38	38		27	11	0	11
39	24		22	17	0	17
40	2067	31	0	9	9
41	34		26	0	15	15
51	2068	31	0	20	20
58	30		26	0	32	32
63	2084	46	0	17	17
64	2082	43	0	21	21
66	83		56	0	10	10
76	2005	3	3	70	73
76	2039	21	3	52	55
81	2052	25	9	47	56
85	107		73	0	12	12
90	2009	10	0	80	80
94	2072	41	5	48	53
100	122		89	0	11	11
102	75		55	0	47	47
105	2148	94	0	11	11
106	3		6	8	92	100
110	31		26	1	83	84
116	2154	95	0	21	21
120	2092	47	18	55	73
120	52		37	1	82	83
121	2038	21	2	98	100
122	2004	3	4	115	119
123	2162	100	0	23	23
125	171		120	0	5	5
127	99		70	1	56	57
128	2037	21	6	101	107
135	2024	16	4	115	119
144	2179	133	0	11	11
146	2106	53	0	93	93
146	2176	133	0	13	13
149	2074	41	3	105	108
151	2109	53	4	94	98
154	2060	30	10	114	124
162	214		149	0	13	13
163	196		137	0	26	26
169	2140	89	0	80	80
170	141		104	19	47	66
179	35		26	95	58	153
186	2212	156	0	30	30
187	116		85	37	65	102
189	2151	94	10	85	95
189	2215	156	0	33	33
192	256		179	0	13	13
197	2090	46	4	147	151
200	2163	100	2	98	100
200	226		157	1	42	43
204	2167	100	14	90	104
206	2208	153	0	53	53
209	2260	191	0	18	18
213	269		200	0	13	13
225	268		200	14	11	25
226	251		176	0	50	50
235	237		166	0	69	69
240	188		129	0	111	111
241	2214	156	13	72	85
244	275		223	0	21	21
246	2170	121	5	120	125
249	187		129	111	9	120
250	2180	133	8	109	117
255	2249	177	0	78	78
255	2335	241	0	14	14
256	2203	153	3	100	103
256	2341	245	0	11	11
258	2123	69	6	183	189
261	2351	252	0	9	9
265	2316	236	0	29	29
266	2250	177	0	89	89
270	323		253	0	17	17
271	302		242	0	29	29
273	2248	177	7	89	96
278	2270	204	0	74	74
279	2367	267	0	12	12
283	347		274	0	9	9
293	2168	121	3	169	172
301	301		238	0	63	63
302	2364	267	0	35	35
302	380		295	0	7	7
305	303		242	4	59	63
311	2321	236	0	75	75
311	366		291	0	20	20
312	2339	245	13	54	67
314	2266	204	20	90	110
316	2394	304	0	12	12
317	2296	224	6	87	93
319	2330	241	3	75	78
321	2372	282	0	39	39
331	2302	226	5	100	105
332	394		311	0	21	21
347	2326	238	18	91	109
347	2283	220	0	127	127
348	2426	338	0	10	10
350	462		342	0	8	8
353	2254	178	1	174	175
357	2253	178	18	161	179
358	2251	177	7	174	181
358	449		339	0	19	19
359	2281	220	1	138	139
360	2345	249	0	111	111
361	2451	352	0	9	9
367	2454	352	0	15	15
370	484		363	0	7	7
372	469		346	0	26	26
374	373		293	9	72	81
375	477		359	0	16	16
378	447		335	0	43	43
381	2247	177	6	198	204
382	401		320	1	61	62
388	446		335	44	9	53
394	2500	384	0	10	10
398	2498	384	0	14	14
403	2357	261	8	134	142
404	2516	394	0	10	10
410	2493	374	0	36	36
415	2390	295	15	105	120
416	2462	359	0	57	57
419	2491	374	0	45	45
434	2385	295	13	126	139
436	2554	422	0	14	14
438	522		400	0	38	38
440	2382	285	11	144	155
440	574		422	0	18	18
443	2365	267	18	158	176
451	21		9	4	438	442
452	2546	421	0	31	31
453	518		393	0	60	60
456	564		421	0	35	35
457	2557	422	0	35	35
458	571		422	19	17	36
459	551		412	0	47	47
468	2591	438	0	30	30
468	2549	421	0	47	47
474	2448	352	16	106	122
475	2537	416	0	59	59
483	2440	345	2	136	138
489	2386	295	5	189	194
491	2471	362	4	125	129
492	622		470	0	22	22
496	686		483	0	13	13
499	2269	204	1	294	295
501	2632	477	0	24	24
